true_label,predicted_label,true_label_name,predicted_label_name,is_correct,confidence,predicted_class_prob,prob_Classical,prob_Mesenchymal,prob_Neural,prob_Proneural,dna_feature_0,dna_feature_1,dna_feature_2,dna_feature_3,dna_feature_4,rna_feature_0,rna_feature_1,rna_feature_2,rna_feature_3,rna_feature_4
1,1,Mesenchymal,Mesenchymal,True,0.5836613,0.5836613,0.26508293,0.5836613,0.05150594,0.0997499,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.5767027,-0.31527928,-0.17526746,0.94932795,-0.2860187
3,3,Proneural,Proneural,True,0.71686906,0.71686906,0.16118115,0.09666101,0.025288839,0.71686906,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.18638447,-0.072434574,-0.17526746,-0.15765,-0.871798
0,0,Classical,Classical,True,0.75323755,0.75323755,0.75323755,0.079556376,0.085910335,0.08129568,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-1.0270046,-2.6889381,-0.17526746,-0.7930277,0.09615862
0,0,Classical,Classical,True,0.6949499,0.6949499,0.6949499,0.101234816,0.114055686,0.08975961,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,0.2000255,0.88390887,-0.17526746,0.52074397,-0.49952704
1,1,Mesenchymal,Mesenchymal,True,0.6772247,0.6772247,0.07772274,0.6772247,0.0522671,0.1927855,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,0.20784205,-0.22033976,-0.17526746,0.20305511,-0.02115365
2,2,Neural,Neural,True,0.50394857,0.50394857,0.13551526,0.29187298,0.50394857,0.068663195,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,0.33562583,-0.31653222,-0.17526746,1.5519502,1.116254
3,3,Proneural,Proneural,True,0.6705597,0.6705597,0.08707203,0.18274355,0.05962471,0.6705597,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-1.8071313,-0.75814056,-0.17526746,1.0925839,1.3779907
3,3,Proneural,Proneural,True,0.86916864,0.86916864,0.045839168,0.04619961,0.03879265,0.86916864,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,0.62364906,-1.8675718,-0.17526746,0.35380933,0.6686425
3,3,Proneural,Proneural,True,0.87859327,0.87859327,0.04139852,0.05538742,0.024620883,0.87859327,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,1.3917111,1.7070408,-0.17526746,-0.58031434,-1.4664409
1,1,Mesenchymal,Mesenchymal,True,0.6083867,0.6083867,0.2626369,0.6083867,0.029698966,0.09927744,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-0.15887576,-1.1892831,0.65262544,-0.17526746,1.4272425,0.21503507
